campaign,platform,text,mediaUrl,timestamp,theme,dayIndex,daypart
AI writing tool focused on creators and marketers,x,"🚀 AI writing tool focused on creators and marketers: product launch campaign. Built for creators & marketers. Try it free today → link in bio (2025-08-11)

#AI #Writing #Creators",https://placehold.co/1200x675?text=AI+writing+tool+focused+on+creators+and+,2025-08-11T09:00:00+05:00,awareness,0,morning
AI writing tool focused on creators and marketers,linkedin,"✨ AI writing tool focused on creators and marketers — product launch campaign

For creators & marketers. Inspiring tone.
• Draft faster
• Keep brand voice
• Collaborate

📈 Try it free today: visit our site. (2025-08-11)

#Marketing #ProductLaunch #AIWriting",https://placehold.co/1200x675?text=AI+writing+tool+focused+on+creators+and+,2025-08-11T09:00:00+05:00,awareness,0,morning
AI writing tool focused on creators and marketers,instagram,"🎨 AI writing tool focused on creators and marketers is here! product launch campaign.
Made for creators & marketers. ⚡ Try it free today. (2025-08-12)

#AIWriting #CreatorTools #ContentStrategy",https://placehold.co/1200x675?text=AI+writing+tool+focused+on+creators+and+,2025-08-12T12:30:00+05:00,education,1,noon
AI writing tool focused on creators and marketers,x,"🚀 AI writing tool focused on creators and marketers: product launch campaign. Built for creators & marketers. Try it free today → link in bio (2025-08-12)

#AI #Writing #Creators",https://placehold.co/1200x675?text=AI+writing+tool+focused+on+creators+and+,2025-08-12T12:30:00+05:00,education,1,noon
AI writing tool focused on creators and marketers,x,"🚀 AI writing tool focused on creators and marketers: product launch campaign. Built for creators & marketers. Try it free today → link in bio (2025-08-13)

#AI #Writing #Creators",https://placehold.co/1200x675?text=AI+writing+tool+focused+on+creators+and+,2025-08-13T18:00:00+05:00,social proof,2,evening
AI writing tool focused on creators and marketers,linkedin,"✨ AI writing tool focused on creators and marketers — product launch campaign

For creators & marketers. Inspiring tone.
• Draft faster
• Keep brand voice
• Collaborate

📈 Try it free today: visit our site. (2025-08-13)

#Marketing #ProductLaunch #AIWriting",https://placehold.co/1200x675?text=AI+writing+tool+focused+on+creators+and+,2025-08-13T18:00:00+05:00,social proof,2,evening
AI writing tool focused on creators and marketers,instagram,"🎨 AI writing tool focused on creators and marketers is here! product launch campaign.
Made for creators & marketers. ⚡ Try it free today. (2025-08-14)

#AIWriting #CreatorTools #ContentStrategy",https://placehold.co/1200x675?text=AI+writing+tool+focused+on+creators+and+,2025-08-14T09:00:00+05:00,teaser,3,morning
AI writing tool focused on creators and marketers,x,"🚀 AI writing tool focused on creators and marketers: product launch campaign. Built for creators & marketers. Try it free today → link in bio (2025-08-14)

#AI #Writing #Creators",https://placehold.co/1200x675?text=AI+writing+tool+focused+on+creators+and+,2025-08-14T09:00:00+05:00,teaser,3,morning
AI writing tool focused on creators and marketers,x,"🚀 AI writing tool focused on creators and marketers: product launch campaign. Built for creators & marketers. Try it free today → link in bio (2025-08-15)

#AI #Writing #Creators",https://placehold.co/1200x675?text=AI+writing+tool+focused+on+creators+and+,2025-08-15T12:30:00+05:00,behind the scenes,4,noon
AI writing tool focused on creators and marketers,linkedin,"✨ AI writing tool focused on creators and marketers — product launch campaign

For creators & marketers. Inspiring tone.
• Draft faster
• Keep brand voice
• Collaborate

📈 Try it free today: visit our site. (2025-08-15)

#Marketing #ProductLaunch #AIWriting",https://placehold.co/1200x675?text=AI+writing+tool+focused+on+creators+and+,2025-08-15T12:30:00+05:00,behind the scenes,4,noon
AI writing tool focused on creators and marketers,instagram,"🎨 AI writing tool focused on creators and marketers is here! product launch campaign.
Made for creators & marketers. ⚡ Try it free today. (2025-08-16)

#AIWriting #CreatorTools #ContentStrategy",https://placehold.co/1200x675?text=AI+writing+tool+focused+on+creators+and+,2025-08-16T18:00:00+05:00,CTA,5,evening
AI writing tool focused on creators and marketers,x,"🚀 AI writing tool focused on creators and marketers: product launch campaign. Built for creators & marketers. Try it free today → link in bio (2025-08-16)

#AI #Writing #Creators",https://placehold.co/1200x675?text=AI+writing+tool+focused+on+creators+and+,2025-08-16T18:00:00+05:00,CTA,5,evening
AI writing tool focused on creators and marketers,x,"🚀 AI writing tool focused on creators and marketers: product launch campaign. Built for creators & marketers. Try it free today → link in bio (2025-08-17)

#AI #Writing #Creators",https://placehold.co/1200x675?text=AI+writing+tool+focused+on+creators+and+,2025-08-17T09:00:00+05:00,comparison,6,morning
AI writing tool focused on creators and marketers,linkedin,"✨ AI writing tool focused on creators and marketers — product launch campaign

For creators & marketers. Inspiring tone.
• Draft faster
• Keep brand voice
• Collaborate

📈 Try it free today: visit our site. (2025-08-17)

#Marketing #ProductLaunch #AIWriting",https://placehold.co/1200x675?text=AI+writing+tool+focused+on+creators+and+,2025-08-17T09:00:00+05:00,comparison,6,morning
